act-cOU338041,ทำเว็ป,"-",2023-10-11.19:09,2023-10-24.13:00,false,2023101119090874
act-Krj436521,chat1,"-",2023-10-12.11:02,2023-10-27.00:01,false,2023101211021294
act-Kgv252126,ขายโปรโมทสินค้า,"ฝากทีมแต่ละทีมรายงานผลการขายในทุก ๆ วันตลอดเวลางาน ช่วยโปรโมทงานและขายของในงานให้ได้เยอะที่สุด",2023-10-21.10:30,2023-10-28.21:00,false,2023101017323727
act-Mxw942963,แจกคูปอง,"นำคูปองไปแจกให้กับผู้เข้าร่วมอีเวนต์",2023-10-18.13:30,2023-10-18.15:03,false,2023101017323727
act-xaI767563,นาทีทองราคาสุดลับ,"ประกาศเชิญชวนให้ผู้เข้าร่วมมากิจกรรม นาทีทองราคาสุดลับ",2023-10-25.11:30,2023-10-25.13:00,false,2023101017323727
act-EGK993551,ขนสินค้า,"ขนสินค้าเข้าไปเติมใน Stock สำรอง",2023-10-26.13:00,2023-10-26.18:00,false,2023101017323727
act-NyV727556,นาทีรวยลุ้นรับรางวัลสุดพิเศษ,"เชิญชวนผู้ร่วมอีเวนต์ให้มาเข้าร่วมกิจกรรมนี้",2023-10-28.16:00,2023-10-28.18:00,false,2023101017323727
act-uxz476204,ออกแบบโปสเตอร์โปรโมทงาน,"รบกวนช่วยกันออกแบบทีนะคะ",2023-10-17.13:00,2023-10-24.13:00,false,2023101119592436
act-Paw823050,Meeting,"พบปะพูดคุยกันในทีม",2023-10-15.13:00,2023-10-15.16:00,false,2023101119592436
act-yKZ246111,แนะนำตัวก่อนเริ่มงาน,"รบกวนคนที่เข้ามาใหม่แนะนำตัวด้วยนะคะ",2023-10-18.13:30,2023-10-18.15:00,false,2023101311433555
